area_name,latitude,longitude,pincode,population,male_population,female_population,literacy_rate,unemployment_rate,poverty_rate,total_crimes,murders,rapes,robberies,assaults,kidnappings,drug_related_crimes,domestic_violence_cases,crime_rate_per_1000,number_of_police_stations,number_of_cctv_cameras,police_patrolling_frequency,response_time,avg_income,education_index,slum_population,employment_type_distribution,crime_trends_last_5_years,crime_peak_hours,seasonal_crime_trends,perceived_safety_index,reported_missing_persons,risk_index,risk_category
Pudukottai,13.004156,80.124485,600021,196404,99276,97128,74.34,7.7,37.18,2204,102,89,108,435,88,72,216,11.22,4,352,Moderate,21.15,45793,0.64,21832,"{'IT': 19, 'Manufacturing': 29, 'Unskilled Labor': 16}","{'2019': 707, '2020': 819, '2021': 1655, '2022': 2288, '2023': 286}",2 AM - 6 AM,Higher in summer,1.41,25,42.74,Low
Srivaikuntam,12.827852,80.243033,600078,412105,200085,212020,70.1,6.88,6.39,1465,10,8,22,14,2,7,133,3.55,2,373,Moderate,28.42,35766,0.52,9650,"{'IT': 24, 'Manufacturing': 10, 'Unskilled Labor': 39}","{'2019': 323, '2020': 2196, '2021': 1940, '2022': 2485, '2023': 549}",6 PM - 10 PM,High during festival seasons,8.21,8,74.14,Moderate
Rameshwaram,13.041649,80.169387,600078,240628,120197,120431,61.58,2.38,18.75,203,9,6,19,25,5,13,6,0.84,2,310,Moderate,15.97,18197,0.51,18576,"{'IT': 38, 'Manufacturing': 20, 'Unskilled Labor': 40}","{'2019': 353, '2020': 1244, '2021': 1060, '2022': 1198, '2023': 427}",6 PM - 10 PM,Higher in summer,5.26,36,22.79,Low
Kariapatti,13.197708,80.289811,600077,403663,203156,200507,93.32,14.2,37.64,1425,6,65,26,181,18,35,3,3.53,5,51,Moderate,29.55,32781,0.69,74805,"{'IT': 35, 'Manufacturing': 41, 'Unskilled Labor': 36}","{'2019': 2952, '2020': 2399, '2021': 2237, '2022': 1176, '2023': 2379}",6 PM - 10 PM,No significant pattern,6.73,18,61.67,Moderate
Nazareth,13.064423,80.346444,600075,138987,71262,67725,94.7,3.88,24.86,947,3,25,13,39,42,14,16,6.81,2,163,High,13.03,16574,0.83,27321,"{'IT': 10, 'Manufacturing': 49, 'Unskilled Labor': 15}","{'2019': 958, '2020': 2426, '2021': 520, '2022': 2463, '2023': 854}",10 PM - 2 AM,No significant pattern,5.31,42,22.02,Low
Ettayapuram Road,13.186536,80.188734,600018,230768,112414,118354,96.6,2.01,6.93,1115,53,7,102,189,25,164,46,4.83,3,167,High,14.85,16369,0.29,18193,"{'IT': 24, 'Manufacturing': 37, 'Unskilled Labor': 19}","{'2019': 1143, '2020': 2523, '2021': 1807, '2022': 1353, '2023': 855}",6 PM - 10 PM,No significant pattern,7.36,27,22.41,Low
Shanmugapuram,13.147676,80.155153,600032,235410,121298,114112,86.05,9.99,26.74,696,18,1,63,72,6,91,67,2.96,4,224,High,17.06,43057,0.42,21386,"{'IT': 37, 'Manufacturing': 49, 'Unskilled Labor': 28}","{'2019': 1689, '2020': 470, '2021': 2287, '2022': 1659, '2023': 800}",10 PM - 2 AM,High during festival seasons,7.84,47,75.33,Moderate
Sundarapandiapuram,12.82095,80.203984,600039,488761,250093,238668,68.39,9.88,7.04,2583,120,50,190,334,82,206,117,5.28,2,327,Moderate,5.41,26988,0.85,7035,"{'IT': 25, 'Manufacturing': 15, 'Unskilled Labor': 19}","{'2019': 546, '2020': 934, '2021': 1152, '2022': 2857, '2023': 1305}",10 PM - 2 AM,No significant pattern,9.19,21,13.65,Low
Thattarmadam,12.86901,80.390906,600025,434081,218352,215729,62.15,10.62,28.13,1697,79,44,150,337,47,148,63,3.91,2,363,High,19.74,6153,0.99,75021,"{'IT': 18, 'Manufacturing': 25, 'Unskilled Labor': 33}","{'2019': 1995, '2020': 403, '2021': 1833, '2022': 1244, '2023': 252}",6 PM - 10 PM,Higher in summer,4.43,49,86.93,High
Perumalpuram,12.999438,80.150691,600075,131434,65731,65703,95.79,13.97,24.76,2535,65,19,53,45,21,338,30,19.29,4,149,Low,12.12,16967,0.3,8251,"{'IT': 38, 'Manufacturing': 42, 'Unskilled Labor': 26}","{'2019': 172, '2020': 2601, '2021': 1329, '2022': 2387, '2023': 2038}",10 PM - 2 AM,No significant pattern,9.94,14,91.14,High
Sathankulam,13.150724,80.381861,600099,176468,86680,89788,70.5,10.17,36.39,405,15,13,22,68,17,38,12,2.3,4,79,High,14.17,28704,0.84,50368,"{'IT': 14, 'Manufacturing': 20, 'Unskilled Labor': 36}","{'2019': 2915, '2020': 1791, '2021': 2900, '2022': 619, '2023': 1386}",6 PM - 10 PM,No significant pattern,2.51,3,25.1,Low
Tharuvaikulam,12.860758,80.122045,600097,173114,83544,89570,79.45,8.01,22.88,1679,74,13,14,143,72,69,84,9.7,5,14,High,19.16,10708,0.22,44444,"{'IT': 24, 'Manufacturing': 45, 'Unskilled Labor': 15}","{'2019': 1202, '2020': 265, '2021': 421, '2022': 471, '2023': 1240}",6 PM - 10 PM,No significant pattern,6.76,25,83.13,High
Muthaiyapuram,12.909835,80.292673,600061,181390,88098,93292,72.55,9.19,7.17,1797,22,5,99,212,44,38,111,9.91,3,358,Moderate,14.99,19988,0.92,24629,"{'IT': 10, 'Manufacturing': 31, 'Unskilled Labor': 14}","{'2019': 248, '2020': 808, '2021': 1929, '2022': 775, '2023': 432}",6 PM - 10 PM,No significant pattern,3.92,27,80.91,High
Therespuram,13.152695,80.322608,600011,270036,133622,136414,67.67,8.51,23.2,2379,36,86,194,162,106,4,157,8.81,5,310,Moderate,18.82,33453,0.33,39308,"{'IT': 11, 'Manufacturing': 21, 'Unskilled Labor': 31}","{'2019': 883, '2020': 576, '2021': 300, '2022': 762, '2023': 1486}",6 PM - 10 PM,High during festival seasons,6.92,42,33.94,Low
Kazhugumalai,12.93502,80.243357,600062,393920,200531,193389,73.29,11.15,5.04,614,6,28,32,98,2,60,22,1.56,5,180,High,20.1,12388,0.98,22424,"{'IT': 17, 'Manufacturing': 14, 'Unskilled Labor': 31}","{'2019': 929, '2020': 2050, '2021': 2390, '2022': 313, '2023': 2856}",2 AM - 6 AM,Higher in summer,4.44,1,53.07,Moderate
Sankaraperi,12.931656,80.297476,600054,387919,186875,201044,81.57,6.62,23.9,507,16,13,36,69,19,33,18,1.31,4,395,Low,27.5,36566,0.55,93998,"{'IT': 25, 'Manufacturing': 18, 'Unskilled Labor': 31}","{'2019': 1738, '2020': 2078, '2021': 343, '2022': 2486, '2023': 2425}",2 AM - 6 AM,High during festival seasons,2.36,37,73.15,Moderate
Madathur,13.189242,80.381924,600089,392931,195007,197924,78.16,5.9,5.0,2683,133,12,198,410,11,311,246,6.83,5,383,High,5.74,9657,0.58,71402,"{'IT': 18, 'Manufacturing': 31, 'Unskilled Labor': 17}","{'2019': 1473, '2020': 527, '2021': 2831, '2022': 647, '2023': 110}",2 AM - 6 AM,High during festival seasons,9.35,48,8.85,Low
Millerpuram,13.034852,80.359765,600089,464699,239643,225056,70.84,9.71,5.98,905,12,32,84,165,22,82,13,1.95,3,406,Moderate,24.99,46693,0.37,54206,"{'IT': 31, 'Manufacturing': 13, 'Unskilled Labor': 22}","{'2019': 1827, '2020': 1858, '2021': 1682, '2022': 515, '2023': 1458}",2 AM - 6 AM,High during festival seasons,1.92,37,87.51,High
Kurumbur,13.05713,80.318908,600039,54399,26261,28138,73.42,11.36,5.29,2730,50,102,26,160,109,141,26,50.18,1,443,High,8.51,46397,0.65,45,"{'IT': 32, 'Manufacturing': 35, 'Unskilled Labor': 22}","{'2019': 1316, '2020': 2531, '2021': 164, '2022': 285, '2023': 1532}",6 PM - 10 PM,Higher in summer,3.69,50,10.7,Low
Jawahar Nagar,12.998323,80.226108,600042,472450,239297,233153,60.99,14.29,15.49,637,28,30,63,43,13,7,52,1.35,3,93,Moderate,17.43,8012,0.44,85577,"{'IT': 35, 'Manufacturing': 28, 'Unskilled Labor': 21}","{'2019': 340, '2020': 2387, '2021': 2187, '2022': 2452, '2023': 553}",2 AM - 6 AM,Higher in summer,5.95,23,72.81,Moderate
Puthiamputhur,12.862161,80.209711,600093,277704,137762,139942,72.57,14.06,19.88,2174,101,79,40,11,40,291,131,7.83,1,200,Moderate,5.81,38628,0.3,6319,"{'IT': 12, 'Manufacturing': 20, 'Unskilled Labor': 16}","{'2019': 291, '2020': 74, '2021': 99, '2022': 1987, '2023': 2263}",2 AM - 6 AM,Higher in summer,9.69,46,67.97,Moderate
Alwarthirunagari,12.964181,80.228738,600088,431484,220990,210494,92.83,3.93,18.32,2851,127,119,19,236,110,233,118,6.61,2,467,Moderate,27.41,28299,0.53,92485,"{'IT': 37, 'Manufacturing': 17, 'Unskilled Labor': 14}","{'2019': 2767, '2020': 701, '2021': 2034, '2022': 1551, '2023': 872}",2 AM - 6 AM,No significant pattern,5.03,50,37.2,Low
Caldwell Colony,13.126845,80.127699,600090,285089,142540,142549,66.55,4.56,29.19,754,24,9,12,17,10,41,69,2.64,1,318,Low,14.73,30431,0.97,69672,"{'IT': 16, 'Manufacturing': 24, 'Unskilled Labor': 17}","{'2019': 2885, '2020': 1736, '2021': 779, '2022': 786, '2023': 2071}",10 PM - 2 AM,No significant pattern,8.94,18,9.84,Low
Maniapuram,12.939276,80.378811,600080,157759,77352,80407,61.49,6.95,16.5,1720,7,79,67,60,78,1,45,10.9,3,316,Low,8.53,45492,0.5,45696,"{'IT': 27, 'Manufacturing': 25, 'Unskilled Labor': 29}","{'2019': 1172, '2020': 1169, '2021': 250, '2022': 615, '2023': 1927}",2 AM - 6 AM,Higher in summer,1.75,11,61.24,Moderate
Kovilpatti,12.915985,80.134891,600043,86799,43401,43398,77.95,5.31,22.5,340,13,6,24,56,15,19,34,3.92,5,451,High,5.4,39097,0.2,22018,"{'IT': 12, 'Manufacturing': 26, 'Unskilled Labor': 35}","{'2019': 1960, '2020': 381, '2021': 2624, '2022': 2870, '2023': 1530}",2 AM - 6 AM,High during festival seasons,5.96,41,55.76,Moderate
Vilathikulam,13.016193,80.113437,600076,261693,129567,132126,75.54,14.29,16.63,2614,58,1,159,230,71,155,117,9.99,1,375,High,17.45,12082,0.27,26881,"{'IT': 33, 'Manufacturing': 26, 'Unskilled Labor': 30}","{'2019': 1019, '2020': 1010, '2021': 2220, '2022': 951, '2023': 2238}",2 AM - 6 AM,High during festival seasons,6.59,20,59.2,Moderate
New Colony,13.026248,80.117204,600001,27943,14150,13793,65.67,3.17,8.2,1863,51,67,53,4,92,155,169,66.67,5,408,Moderate,19.72,35551,0.57,4229,"{'IT': 23, 'Manufacturing': 48, 'Unskilled Labor': 20}","{'2019': 963, '2020': 1906, '2021': 1544, '2022': 810, '2023': 1138}",2 AM - 6 AM,No significant pattern,2.51,3,60.16,Moderate
Spic Nagar,13.134508,80.272676,600085,378904,182484,196420,92.41,9.84,26.89,1041,1,11,74,26,8,156,16,2.75,5,164,Moderate,9.02,35176,0.46,88629,"{'IT': 38, 'Manufacturing': 38, 'Unskilled Labor': 29}","{'2019': 534, '2020': 1773, '2021': 2843, '2022': 2560, '2023': 683}",2 AM - 6 AM,High during festival seasons,7.94,15,9.72,Low
Vaippar,13.093013,80.332701,600053,129657,67268,62389,79.98,4.36,28.26,2364,77,35,122,426,4,191,232,18.23,1,239,Moderate,21.05,27367,0.89,32744,"{'IT': 34, 'Manufacturing': 12, 'Unskilled Labor': 30}","{'2019': 1149, '2020': 460, '2021': 1647, '2022': 1159, '2023': 1394}",10 PM - 2 AM,High during festival seasons,1.45,46,92.62,High
Palayamkottai Road,13.157102,80.369194,600023,227562,113670,113892,67.08,12.6,33.09,349,11,8,30,28,16,5,8,1.53,4,334,Moderate,14.96,21817,0.94,43955,"{'IT': 19, 'Manufacturing': 49, 'Unskilled Labor': 23}","{'2019': 604, '2020': 1782, '2021': 498, '2022': 955, '2023': 93}",10 PM - 2 AM,Higher in summer,9.23,6,11.03,Low
Kayalpattinam,13.063675,80.193506,600052,240106,121314,118792,68.64,9.92,5.98,1470,14,43,116,249,60,26,124,6.12,5,39,Moderate,28.62,23953,0.34,66313,"{'IT': 40, 'Manufacturing': 17, 'Unskilled Labor': 33}","{'2019': 401, '2020': 2329, '2021': 1111, '2022': 2614, '2023': 2333}",6 PM - 10 PM,No significant pattern,7.78,3,89.16,High
Korampallam,12.873877,80.345713,600023,275478,133247,142231,80.68,10.71,25.21,2424,100,85,217,310,112,289,132,8.8,1,77,Moderate,23.51,11718,0.88,61862,"{'IT': 31, 'Manufacturing': 21, 'Unskilled Labor': 29}","{'2019': 1936, '2020': 2541, '2021': 2769, '2022': 1042, '2023': 2300}",10 PM - 2 AM,No significant pattern,3.61,25,99.53,High
Keelapavoor,12.936999,80.358427,600012,431541,215149,216392,68.06,8.81,9.19,1987,1,26,61,126,81,261,164,4.6,3,362,High,12.04,13278,0.3,83283,"{'IT': 22, 'Manufacturing': 48, 'Unskilled Labor': 33}","{'2019': 2002, '2020': 2439, '2021': 1416, '2022': 1708, '2023': 2631}",6 PM - 10 PM,High during festival seasons,2.09,29,27.21,Low
Anna Nagar,12.813343,80.298278,600007,481581,243850,237731,87.85,2.22,9.06,1397,7,37,32,217,23,151,78,2.9,2,347,High,8.9,24940,0.27,34824,"{'IT': 10, 'Manufacturing': 18, 'Unskilled Labor': 31}","{'2019': 1819, '2020': 1298, '2021': 1253, '2022': 1640, '2023': 1984}",10 PM - 2 AM,High during festival seasons,5.29,20,96.6,High
Thenthiruperai,13.063974,80.138971,600057,378982,192829,186153,86.06,4.4,25.5,221,6,5,21,3,2,22,2,0.58,1,308,Moderate,26.65,6128,0.58,54083,"{'IT': 14, 'Manufacturing': 30, 'Unskilled Labor': 31}","{'2019': 562, '2020': 864, '2021': 1668, '2022': 480, '2023': 1627}",6 PM - 10 PM,Higher in summer,7.9,9,57.15,Moderate
Kadambur,12.933624,80.165836,600065,197860,100105,97755,78.62,3.35,38.05,1692,71,82,20,36,46,153,37,8.55,5,186,Low,9.14,15818,0.61,24102,"{'IT': 16, 'Manufacturing': 10, 'Unskilled Labor': 12}","{'2019': 299, '2020': 2429, '2021': 708, '2022': 293, '2023': 2382}",2 AM - 6 AM,No significant pattern,4.16,29,44.14,Low
Tuticorin Port,12.965754,80.193827,600043,378606,188179,190427,91.71,10.7,35.6,1055,9,38,14,28,15,13,85,2.79,5,272,High,26.41,30431,0.6,52515,"{'IT': 32, 'Manufacturing': 10, 'Unskilled Labor': 37}","{'2019': 1786, '2020': 260, '2021': 1195, '2022': 1204, '2023': 2254}",6 PM - 10 PM,Higher in summer,4.82,46,0.44,Low
Meenakshipuram,12.930458,80.342962,600010,299525,145008,154517,79.58,2.71,12.79,2857,125,56,101,83,67,30,52,9.54,4,116,Moderate,29.38,29421,0.63,84786,"{'IT': 33, 'Manufacturing': 23, 'Unskilled Labor': 39}","{'2019': 2247, '2020': 2418, '2021': 748, '2022': 990, '2023': 455}",6 PM - 10 PM,No significant pattern,6.24,17,17.66,Low
Sawyerpuram,12.910479,80.395099,600015,189595,92169,97426,84.7,4.63,18.54,685,4,16,62,51,32,60,9,3.61,5,305,Low,21.51,29929,0.29,12010,"{'IT': 14, 'Manufacturing': 44, 'Unskilled Labor': 36}","{'2019': 1555, '2020': 469, '2021': 2071, '2022': 773, '2023': 1826}",10 PM - 2 AM,Higher in summer,2.59,24,60.84,Moderate
Athimarapatti,13.126149,80.100746,600096,487404,237601,249803,66.52,10.83,10.84,2858,55,40,167,460,53,145,265,5.86,3,187,Moderate,24.26,41945,0.33,117692,"{'IT': 27, 'Manufacturing': 45, 'Unskilled Labor': 19}","{'2019': 170, '2020': 2793, '2021': 98, '2022': 926, '2023': 2166}",10 PM - 2 AM,Higher in summer,2.21,31,32.6,Low
